"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","D","2020/06/23 18:43:36.382","2020/06/23 18:43:36.382","-1.3862943611198906","true"
"0","E","2020/06/23 18:44:36.382","2020/06/23 18:44:36.382","-1.3862943611198906","true"
"0","A","2020/06/23 18:45:36.382","2020/06/23 18:45:36.382","-1.3862943611198906","true"
"0","D","2020/06/23 18:46:36.382","2020/06/23 18:46:36.382","-1.3862943611198906","true"
"0","B","2020/06/23 18:47:36.382","2020/06/23 18:47:36.382","-1.3862943611198906","true"
"1","B","2020/06/23 18:43:45.191","2020/06/23 18:43:45.191","-1.3862943611198906","true"
"1","D","2020/06/23 18:44:45.191","2020/06/23 18:44:45.191","-1.3862943611198906","true"
"1","B","2020/06/23 18:45:45.191","2020/06/23 18:45:45.191","-1.3862943611198906","true"
"2","D","2020/06/23 18:44:26.407","2020/06/23 18:44:26.407","-2.772588722239781","true"
"2","C","2020/06/23 18:45:26.407","2020/06/23 18:45:26.407","-2.772588722239781","true"
"2","A","2020/06/23 18:46:26.407","2020/06/23 18:46:26.407","-2.772588722239781","true"
"2","F","2020/06/23 18:47:26.407","2020/06/23 18:47:26.407","-2.772588722239781","true"
"3","A","2020/06/23 18:47:17.748","2020/06/23 18:47:17.748","-5.545177444479562","true"
"3","F","2020/06/23 18:48:17.748","2020/06/23 18:48:17.748","-5.545177444479562","true"
"3","D","2020/06/23 18:49:17.748","2020/06/23 18:49:17.748","-5.545177444479562","true"
"3","F","2020/06/23 18:50:17.748","2020/06/23 18:50:17.748","-5.545177444479562","true"
"3","D","2020/06/23 18:52:17.748","2020/06/23 18:52:17.748","-5.545177444479562","true"
"3","B","2020/06/23 18:54:17.748","2020/06/23 18:54:17.748","-5.545177444479562","true"
"3","E","2020/06/23 18:55:17.748","2020/06/23 18:55:17.748","-5.545177444479562","true"
"3","C","2020/06/23 18:56:17.748","2020/06/23 18:56:17.748","-5.545177444479562","true"
"3","A","2020/06/23 18:57:17.748","2020/06/23 18:57:17.748","-5.545177444479562","true"
"3","F","2020/06/23 18:59:17.748","2020/06/23 18:59:17.748","-5.545177444479562","true"
"4","B","2020/06/23 18:47:35.367","2020/06/23 18:47:35.367","-1.3862943611198906","true"
"4","D","2020/06/23 18:48:35.367","2020/06/23 18:48:35.367","-1.3862943611198906","true"
"4","B","2020/06/23 18:49:35.367","2020/06/23 18:49:35.367","-1.3862943611198906","true"
"5","B","2020/06/23 18:49:52.200","2020/06/23 18:49:52.200","-1.3862943611198906","true"
"5","D","2020/06/23 18:50:52.200","2020/06/23 18:50:52.200","-1.3862943611198906","true"
"5","B","2020/06/23 18:51:52.200","2020/06/23 18:51:52.200","-1.3862943611198906","true"
"6","D","2020/06/23 18:51:15.576","2020/06/23 18:51:15.576","-3.4657359027997265","true"
"6","A","2020/06/23 18:53:15.576","2020/06/23 18:53:15.576","-3.4657359027997265","true"
"6","F","2020/06/23 18:54:15.576","2020/06/23 18:54:15.576","-3.4657359027997265","true"
"6","A","2020/06/23 18:56:15.576","2020/06/23 18:56:15.576","-3.4657359027997265","true"
"6","F","2020/06/23 18:57:15.576","2020/06/23 18:57:15.576","-3.4657359027997265","true"
"7","F","2020/06/23 18:53:18.427","2020/06/23 18:53:18.427","-5.545177444479562","true"
