"case","event","startTime","completeTime","simulated:logProbability","concept:simulated"
"0","B","2020/06/17 11:41:39.336","2020/06/17 11:41:39.336","-1.3862943611198906","true"
"0","D","2020/06/17 11:42:39.336","2020/06/17 11:42:39.336","-1.3862943611198906","true"
"0","B","2020/06/17 11:43:39.336","2020/06/17 11:43:39.336","-1.3862943611198906","true"
"1","D","2020/06/17 11:42:03.661","2020/06/17 11:42:03.661","-1.3862943611198906","true"
"1","E","2020/06/17 11:43:03.661","2020/06/17 11:43:03.661","-1.3862943611198906","true"
"1","A","2020/06/17 11:44:03.661","2020/06/17 11:44:03.661","-1.3862943611198906","true"
"1","D","2020/06/17 11:45:03.661","2020/06/17 11:45:03.661","-1.3862943611198906","true"
"1","B","2020/06/17 11:46:03.661","2020/06/17 11:46:03.661","-1.3862943611198906","true"
"2","D","2020/06/17 11:42:51.600","2020/06/17 11:42:51.600","-1.3862943611198906","true"
"2","E","2020/06/17 11:43:51.600","2020/06/17 11:43:51.600","-1.3862943611198906","true"
"2","A","2020/06/17 11:44:51.600","2020/06/17 11:44:51.600","-1.3862943611198906","true"
"2","D","2020/06/17 11:45:51.600","2020/06/17 11:45:51.600","-1.3862943611198906","true"
"2","B","2020/06/17 11:46:51.600","2020/06/17 11:46:51.600","-1.3862943611198906","true"
"3","F","2020/06/17 11:44:29.409","2020/06/17 11:44:29.409","-4.852030263919617","true"
"3","A","2020/06/17 11:45:29.409","2020/06/17 11:45:29.409","-4.852030263919617","true"
"3","B","2020/06/17 11:46:29.409","2020/06/17 11:46:29.409","-4.852030263919617","true"
"3","D","2020/06/17 11:47:29.409","2020/06/17 11:47:29.409","-4.852030263919617","true"
"3","D","2020/06/17 11:49:29.409","2020/06/17 11:49:29.409","-4.852030263919617","true"
"3","E","2020/06/17 11:51:29.409","2020/06/17 11:51:29.409","-4.852030263919617","true"
"3","A","2020/06/17 11:52:29.409","2020/06/17 11:52:29.409","-4.852030263919617","true"
"3","B","2020/06/17 11:53:29.409","2020/06/17 11:53:29.409","-4.852030263919617","true"
"3","C","2020/06/17 11:54:29.409","2020/06/17 11:54:29.409","-4.852030263919617","true"
"3","F","2020/06/17 11:56:29.409","2020/06/17 11:56:29.409","-4.852030263919617","true"
"4","B","2020/06/17 11:45:54.831","2020/06/17 11:45:54.831","-1.3862943611198906","true"
"4","D","2020/06/17 11:46:54.831","2020/06/17 11:46:54.831","-1.3862943611198906","true"
"4","B","2020/06/17 11:47:54.831","2020/06/17 11:47:54.831","-1.3862943611198906","true"
"5","F","2020/06/17 11:48:37.188","2020/06/17 11:48:37.188","-4.852030263919617","true"
"5","A","2020/06/17 11:49:37.188","2020/06/17 11:49:37.188","-4.852030263919617","true"
"5","B","2020/06/17 11:50:37.188","2020/06/17 11:50:37.188","-4.852030263919617","true"
"5","D","2020/06/17 11:51:37.188","2020/06/17 11:51:37.188","-4.852030263919617","true"
"5","D","2020/06/17 11:53:37.188","2020/06/17 11:53:37.188","-4.852030263919617","true"
